Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\MAINFRIC.csv;
Starttime of export;134225416292140000;onsdag 6. mai 2026;13:47:09.214
Endtime of export;134225416573394775;onsdag 6. mai 2026;13:47:37.339


Name;fMain_Spool;Name;fU;Name;fMain_Position_mm;Name;fMain_Pa_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_bar;Name;fPs_bar
720;-0.00088503677480389342;720;0;720;348.103943;720;0;720;53.5172577;720;0.219733268;720;152.421646
730;-0.00082399975585190077;730;0;730;348.142426;730;0;730;53.7125778;730;0.183111057;730;152.494888
740;-0.00088503677480389342;740;0;740;348.103943;740;0.0244148076;740;53.8224449;740;0.170903653;740;152.44606
750;-0.00088503677480389342;750;0;750;348.103943;750;0.0122074038;750;53.70037;750;0.183111057;750;152.421646
760;-0.00088503677480389342;760;0;760;348.103943;760;0;760;53.5782967;760;0.219733268;760;152.32399
770;-0.00076296273689990812;770;0;770;348.06546;770;0.0122074038;770;53.54167;770;0.219733268;770;152.32399
780;-0.00076296273689990812;780;0;780;348.06546;780;0;780;53.7125778;780;0.219733268;780;152.32399
790;-0.00076296273689990812;790;0;790;348.103943;790;0;790;53.78582;790;0.207525864;790;152.397232
800;-0.00082399975585190077;800;0;800;348.142426;800;0.0122074038;800;53.7614059;800;0.183111057;800;152.5071
810;-0.00088503677480389342;810;0;810;348.142426;810;0;810;53.7492;810;0.183111057;810;152.360611
820;-0.00082399975585190077;820;0;820;348.103943;820;0;820;53.6271248;820;0.170903653;820;152.250748
830;-0.00076296273689990812;830;0;830;348.103943;830;0;830;53.5294647;830;0.207525864;830;152.262955
840;-0.00076296273689990812;840;0;840;348.103943;840;0;840;53.5294647;840;0.183111057;840;152.311783
850;-0.00088503677480389342;850;0;850;348.103943;850;0;850;53.6881638;850;0.183111057;850;152.275162
860;-0.00070192571794791547;860;0;860;348.142426;860;0;860;53.798027;860;0.219733268;860;152.299576
